,Name,Draft_Pick
1052,Goran Dragic,45
1053,Zoran Dragic,
1054,Greg Dreiling,26
1055,Bryce Drew,16
1056,John Drew,25
1057,Larry Drew,17
1058,Larry Drew II,
1059,Clyde Drexler,14
1060,Nate Driggers,
1061,Terry Driscoll,4
1062,Predrag Drobnjak,48
1063,Ralph Drollinger,21
1064,Andre Drummond,9
1065,Dick Duckett,9
1066,Kevin Duckworth,33
1067,Charles Dudley,76
1068,Chris Dudley,75
1069,Jared Dudley,22
1070,Terry Duerod,48
1071,Bob Duffy,
1072,Bob Duffy,10
1073,Chris Duhon,38
1074,Duje Dukan,
1075,Walter Dukes,
1076,Joe Dumars,18
1077,Rich Dumas,
1078,Richard Dumas,46
1079,Tony Dumas,19
1080,Andy Duncan,
1081,Tim Duncan,1
1082,Mike Dunleavy,99
1083,Mike Dunleavy,3
1084,Kris Dunn,5
1085,Pat Dunn,
1086,T.R. Dunn,41
1087,Ronald Dupree,
1088,Kevin Durant,2
1089,John Duren,19
1090,Jarrett Durham,62
1091,Pat Durham,35
1092,Devin Durrant,25
1093,Ken Durrett,4
1094,Dennis DuVal,30
1095,Jack Dwan,
1096,Craig Dykema,66
1097,Gene Dyker,
1098,Jerome Dyson,
1099,Ledell Eackles,36
1100,Jim Eakins,57
1101,Acie Earl,19
1102,Ed Earle,
1103,Cleanthony Early,34
1104,Penny Early,
1105,Mark Eaton,07
1106,Jerry Eaves,55
1107,Devin Ebanks,43
1108,Bill Ebben,18
1109,Al Eberhard,15
1110,Ndudi Ebi,26
1111,Roy Ebron,68
1112,Jarell Eddie,
1113,Patrick Eddie,
1114,Dike Eddleman,
1115,Kenton Edelin,40
1116,Charles Edge,92
1117,Bobby Edmonds,
1118,Keith Edmonson,10
1119,Tyus Edney,47
1120,Bill Edwards,
1121,Blue Edwards,21
1122,Corsley Edwards,58
1123,Doug Edwards,15
1124,Franklin Edwards,22
1125,James Edwards,46
1126,Jay Edwards,33
1127,John Edwards,
1128,Kevin Edwards,20
1129,Shane Edwards,
1130,Johnny Egan,12
1131,Lonnie Eggleston,
1132,Bulbs Ehlers,3
1133,Craig Ehlo,48
1134,Rich Eichhorst,
1135,Howard Eisley,30
1136,Obinna Ekezie,37
1137,Khalid El-Amin,34
1138,Don Eliason,
1139,Mario Elie,60
1140,Ray Ellefson,
1141,Henry Ellenson,18
1142,Wayne Ellington,28
1143,Bob Elliott,42
1144,Sean Elliott,3
1145,Bo Ellis,17
1146,Boo Ellis,16
1147,Dale Ellis,9
1148,Harold Ellis,
1149,Joe Ellis,13
1150,LaPhonso Ellis,5
1151,LeRon Ellis,22
1152,Leroy Ellis,6
