,Name,link,Year,blank,blank,League,blank,Games Played,TotalMin,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,blank,OWS,DWS,WS,WS/48,blank,OBPM,DBPM,BPM,VORP
97,Shandon Anderson,andersh01,Career,,,NBA,,719,15946,11.7,.535,.223,.319,4.5,12.0,8.3,10.2,1.8,0.8,16.1,17.1,,9.4,14.2,23.6,.071,,-0.9,0.2,-0.8,4.9
98,Willie Anderson,anderwi01,Career,,,NBA,,555,15974,13.8,.517,.063,.227,3.9,10.6,7.3,19.9,1.8,1.4,15.1,20.3,,9.9,18.0,27.9,.084,,-0.5,0.5,0.0,8.3
100,Martynas Andriuskevicius,andrima01,Career,,,NBA,,6,9,15.5,.000,.000,.000,13.0,39.8,26.3,0.0,11.9,0.0,0.0,5.1,,0.0,0.0,0.0,.155,,-6.8,6.8,0.1,0.0
102,Ike Anigbogu,anigbik01,Career,,,NBA,,10,28,23.2,.558,.000,.667,20.4,16.1,18.2,0.0,1.8,9.5,14.7,21.7,,0.1,0.0,0.1,.177,,-4.1,-1.3,-5.4,0.0
103,Michael Ansley,anslemi01,Career,,,NBA,,149,2143,17.0,.567,.000,.483,15.1,16.0,15.5,4.6,1.1,0.6,8.6,18.4,,5.3,1.0,6.4,.142,,1.1,-2.2,-1.1,0.5
104,Chris Anstey,anstech01,Career,,,NBA,,155,2157,13.2,.477,.040,.366,9.3,19.2,14.2,11.0,1.9,2.2,14.7,21.2,,0.2,2.6,2.8,.062,,-3.0,0.1,-2.8,-0.4
105,Giannis Antetokounmpo,antetgi01,Career,,,NBA,,390,12768,20.3,.579,.121,.456,5.3,21.0,13.2,19.7,1.8,3.4,14.1,23.9,,22.9,16.0,38.9,.146,,1.3,2.0,3.3,17.1
106,Thanasis Antetokounmpo,antetth01,Career,,,NBA,,2,6,32.9,.750,.250,.000,0.0,17.9,9.1,0.0,0.0,0.0,0.0,30.2,,0.0,0.0,0.0,.291,,6.3,-10.5,-4.1,0.0
107,Carmelo Anthony,anthoca01,Career,,,NBA,,1050,37711,20.4,.542,.190,.359,5.4,15.3,10.3,15.6,1.5,1.1,10.8,30.9,,66.2,34.3,100.5,.128,,2.2,-1.2,1.0,28.3
108,Greg Anthony,anthogr01,Career,,,NBA,,757,15850,14.5,.510,.368,.304,2.0,8.3,5.2,30.0,3.0,0.4,16.2,18.4,,15.6,20.3,35.9,.109,,0.5,-0.4,0.0,8.1
